sheet,group,learning_path,course,section,lesson_name,video_url,source
ERP,,,,4. Change Existing,How to Change an Invoice in Oracle Cloud,https://vimeo.com/848274076/82549475ba,vimeo
ERP,,,,2. Create New,How to Pay All Invoices in Oracle Cloud,https://vimeo.com/849000540/863ce5e6e8,vimeo
EndUser SCE,Supply Chain Execution,Inventory Management,The Fundamentals of Inventory Cloud,0. Overview,Inventory Management Course Overview,https://vimeo.com/923127396/4d242bb60c,vimeo
EndUser SCE,,,,1. Learn about,Introduction to Inventory Management,https://vimeo.com/923129521/9533113b82,vimeo
EndUser SCE,,,,1. Learn about,US1 Inventory Organizations,https://vimeo.com/923130737/d7f36b0c89,vimeo
EndUser SCE,,,,2. Create new,PIM recap for Inventory Management,https://vimeo.com/923131878/ccf5ffe3ba,vimeo
EndUser SCE,,,,3. Find existing,Manage Item Quantities,https://vimeo.com/923132149/36560c5931,vimeo
EndUser SCE,,,How to create basic transactions,2. Create new,Create Miscellaneous Receipt,https://vimeo.com/923133192/59047375d1,vimeo
EndUser SCE,,,,2. Create new,Create an account Alias Receipt,https://vimeo.com/926420313/ea74a2e2f9,vimeo
EndUser SCE,,,,2. Create new,Create a Miscellaneous Issue,https://vimeo.com/926422173/3dac1be08f,vimeo
EndUser SCE,,,,2. Create new,Create Subinventory Transfers,https://vimeo.com/935381955/faa9c80219,vimeo
EndUser SCE,,,,3. Find existing,Review completed Transactions,https://vimeo.com/940768734/776bd130e7,vimeo
EndUser SCE,,,How to Perform Movement Requests,1. Learn about,Movement Request Overview,https://vimeo.com/928056672/c4c34fbc3d,vimeo
EndUser SCE,,,,2. Create new,Create Requisition Movement Request,https://vimeo.com/926423831/b34299a3b1,vimeo
EndUser SCE,,,,2. Create new,Print Movement Request Pick Slip Report,https://vimeo.com/926426791/98a593178f,vimeo
EndUser SCE,,,,2. Create new,Pick Confirm Movement Requests,https://vimeo.com/926428180/b54702f03b,vimeo
EndUser SCE,,,,3. Find existing,Manage Movement Requests,https://vimeo.com/928058242/a532dd05b4,vimeo
EndUser SCE,,,Interorganization Transfers,1. Learn about,Interorganization Transfer Overview,https://vimeo.com/928058771/97702be934,vimeo
